english;time
0,33 cola;12:13
0,66ml Cola;11:37
0.75 l hohes C;23:23
1 Aufbackbrötchen;9:35
1 bot mit Käse 1 Tee 0,4;9:50
1 Brot mit Käse;12:13
1 Brot mit Käse;15:2
1 Brot mit Wurst 1 knoppers;8:42
1 brot mit wurst 3 Pick ups 1×tee;8:45
1 Brötchen mit Frischkäse;19:00
1 Brötchen mit Käse und Marmelade und ein gekochtes Ei;9.00
1 duplo;15:01
1 Glas Rotwein trocken;21:00
1 Glas Wein;21:00
1 große Portion Gemüsesuppe mit 1EL Cremefraiche;17:00
1 grüne Gurke mit Frischkäse;20:00 Uhr
1 jumbodöner 0,33 Cola;20:25
1 Kaffee;14.00
1 Kaukau 0,3;7:37
1 kleines Stück Tiramesu und Erdbeeren;16:00
1 knoppers 40g;6:50
1 Scheibe Salami und 300 ml Milch;5:15
1 snickers 2 hanuta;7:42
1 snikers;9:51
1 Spaghetti Pizza mit Käse und Bolognese;13.00
1 Stück Brownie;15:13
1 Stück Kuchen;15:00
1 Tee 0,3ml 2 knoppers 80g;10:47
1 Twix 1 Mars;18:55
1,1l cola;21:17
1,5 Brötchen mit Marmelade und Käse;9.00
1/2 Brötchen mit Marmelade;7:15
100 g Erdnüsse im Tegmantel;17:30
100g chokolade 0,3 ml Kaukau;10:53
100g Erdnüsse in teigmantek;22:24
100g Schokolade Tee 0,3;7:25
100g Spagetti, 200g Tofu, 35g Barilla Pesto Rosso, 2EL Öl, 2EL Tomatenmark, Sojasauce;18:14
150 g m&m;22:02
150 g Skyr 1 Apfel 1Banane;7:55
150g Skyr , 1 Apfel, 1Banane;9:2
160g Joghurt Natur 9,4 Fett 1Apfel;07:00
170 g Nudeln +150 g Hühnchen, zwei Teelöffel Pasta Sauce;17:50
180g Hüft Steak mit Bratkartoffeln;14:30
1Apfel;10:29
1brot mit Käse 0,33 l cola;9:00
1brot mit Käse 1 Tee 0,4;7:35
1brot mit Wurst 500 ml Wasser;8:51
1Brot, Gutfried Wir Fleischwurst 15g, Magerine 5g;7:06
1Brötchen Käse , Wurst, Rührei;11:30
1Brötchen,1 Ei,25g Pesto, 30g Gutfried wie Fleischwurst, 30g Ziegenweichkäse;20:00
1Dinkelbrötchen Butter Zwiebelmett Käse;12:28
1Käseschnecke vom Bäcker;9:12
1l Cola;19:56
1Schwarzbrot , Butter , 2 Eier;13:27
1Stück schokokuchen & Fritz kola zuckerfrei;17:42
1x Apfel;8:00
2 Backcamembert 468 kcal, 2 Teelöffel Marmelade;12:32
2 Baguette 566 kcal;19:5
2 Brötchen mit Käse und Marmelade;10.00
2 Brötchen mit Käse und Marmelade und Honig und ein gekochtes Ei;9.00
2 Brötchen, 2 Eier gekocht, Butter, Marmelade 2 EL, Fleischsalat 1EL, Lachs, Gurke, Tomate;11:30
2 Brötchen, 2 Scheiben Salamie, 2 Scheiben Ziegenkäse, Eiersalat-Aufstrich ca. 1 EL, Marmelade 2. TL, Butter;11:30
2 Brote mit Käse und Marmelade;9.00
2 Burgerbrötchen Goldähren, 1/2 Veganes Steak Aldi, 5 mini Veggie Frikadellen Aldi, Aioli ca 30g,3 Kirschpaprika mit Frischkäsefüllung, 1/2Avocado;20
2 Dinkelbrote, eins mit Hüttenkäse und Marmelade das andere mit Löwenzahnhonig;8.00
2 Finn crisp, 50g Ziegenweichkäse;15:0
2 Graubrote mit Nutella;10.00
2 hanuta 1 tee;7:38
2 Kaffee;7.30
2 Kaffee;7:27
2 Kaffee;8.00
2 Kaffee;9.00
2 kleine Scheiben Vollkorn Basenbrot 60 Gramm, mit Frischkäse und Marmelade und 1 Ei;9:00
2 Kugeln Eis 1x Pistazie, 1x Oreo;15:15
"2 Romana salatherzen (ca je 100g) ; the wonder chunks chicken style 185g; Dressing aus: 25g veg. Majo, 50ml Haferdrink, 1Knoblauchzehe, 1ELZitronensaft, 1EL Alpro Haferjoghurt";14:30
2 Scheiben Brot mit Eiersalat-Aufstrich;19:39
2 Scheiben Dinkelbrot mit Butter und Salami;13:2
2 Scheiben dinkelbrot mit Butter und salami;14.00
2 Scheiben Graubrot mit Butter und Banane;9:6
2 Schoko Keckse, 28gr. 136 Kalorien;16:00
2 Spiegeleier 2 Bacon 1 Schwarzbrot;20:1
2 Stück Sahnetorte;15:00
2 Toastbrot, 1 Birne;15:30
210g kockies;21:00
250 g Quark +30 g, Eiweißpulver, zwei Scheiben Kartoffel Brot, etwas Butter und ein Forellenfilet 125 g;18:30
250 g Skyr 153 kcal , 1 Apfel, 1Banane , 100g Schokolade;10:31
250 Gramm Erdbeeren und frische Ananas 2 Stücke;14:30
250g Skyr 153kcal, 1 kleiner Apfel;10:3
250ml Wasser;21:00
2brot mit Wurst 1knoppers 40g;11:28
2brot mit Wurst 4 Pick ups 1+tee;11:30
2Brote mit Veggie Aufstrich Aubergine ca 40g;12:58
2brote mit Wurst und Käse;12:01
2Graubrot mit Butter und Honig;8:59
2x Brötchen mit Käse;08:30
2xKnäckebrot Finn Crisp, Magerine 10g, Gutfried wie Fleischwurst 40g;20:55
3 eier 1l schokomilch;16:30
3 Kaffee;8.00
3 Pizza Brötchen , 120 Gramm Krabbensalat;20:00
3 pizzabrötchen mit Schinken;12.00
3 Scheiben Brot, 2 Sahnejoghurt, 1EL Fleischsalat, Tomaten in Scheiben 3 Stück, Butter 1 TL, Marmelade 1EL;11:00
3 Scheiben Weizenbrot, Fleischsalat ca. 2 Esslöffel, 2 Scheiben Salami, 2 Teelöffel Honig, Butter;8:40
30 g Veggie Aufstrich Tomate Basilikum & 1 Scheibe Käse;9:35
300 g Lachsfilet und fünf kleine Kartoffeln;14:00
300 Gramm Erdbeeren mit einem Schuss Eierlikör;18:00
"3x Knäckebrot Finn Crisp; Ziegenweichkäse 25g;Gutfried Wie Fleischwurst 40g; Magerine10g; Veggie Aufstrich Aubergine 10g";17:53
3x Scheiben Brot mit Salami;19:00
4 Gin mit Tonic (Zero), 2 Back Camenbert von Aldi;22:30
4 saure Heringe mit Rest Pizzarolle;17:00
4 Scheiben Weißbott, Butter 1TL, Salami 3 Scheiben, Marmelade 1EL, 1 Sahnejoghurt, Käse 2 Scheiben;11:00
4 Scheiben Weissbrot, 1TL Butter, 3 Scheiben Salami, 1 Sahnejoghurt, Marmelade 1EL, Käse 2 Scheiben, Weintrauben handvoll, tomaten, gurken, Mozzarela 3 kleine Kugeln, 1 Ei gekocht;11:00
4 Schokoeier;15.30
4 Vollkorntoast, 1,5Eier,Veggie Fleischsalat ca 50g, 3 Scheiben Cheddar;12:24
400ml cola;22:27
4Toast, 50veggie Fleischsalat, Veganes chicken 185g, aioli ca 20g;19:11
5 Oliven mit Frischkäse gefüllt und 1 Rührei mit Spargel;19:30
500 g lasange;21:17
500 ml Energie;21:19
500 ml energy;17:00
500 ml energy;18:47
500 ml proteinshake;16:29
500 ml selter;21:21
500 ml Wasser;14:05
500 ml Wasser mit creatin und Eaa;20:05
500 ml Wasser mit eaa und creatin;15:20
500 ml Wasser mit eaa und creatin;17:46
500 ml Wasser und 500 ml energy;20:42
500g Frucht Buttermilch;18:37
500g lasange;19:55
500ml Wasser;21:23
500ml Wasser mit eaa und creatin;18:16
500ml Wasser mit eaa und creatin;19:00
50g Zartbitterschokolade;15:45
6 schokoeier;17:33
70 g Haferflocken, 30 g Eiweißpulver;9:00
Abendbrot von gestern ;9:13
Alpro 120g Haferjoghurt, 1/2 Apfel, 50g Knuspermüsli, 5gAgavendicksaft;10:38
Alpro Hafer Joghurt 200g, 90g Knuspermüsli, 1/2 Apfel, 5gAgavendicksaft;9:39
Aperol 1 Glas;19:36
Aperol Spritz ;19.00
Apfel;12:00
Apfel;18:09
Banane (eine);20:32
Blaubeeren mit Quark ;16:52
bretzel mit quark und Schnittlauch ;15:47
brot;17:31
Brot mit Käse;5:00
Brötchen ;12:34
Brötchen, 15g Magerine, 30g Ziegenweichkäse, 40g Schokostreusel, 1 Ei, 1/2 Apfel, 1/2 Käseschnecke vom Bäcker;10
Brötchen, 30g erdnusscreme, 15g Himbeermarmelade;10:7
Burger 500 g mit pommes;20:41
Buttermilcheis;19.00
ca. 200g Schokolade, 1gekochtes Ei;19:58
Chips ;22.00
Chips 85g;21.00
"Corny Haselnuss; 1 Apfel";14:46
Croissant ;10.00
croque mit Putenfleisch;18.30
Currywurst und Pommes ;18.00
dänischer Joghurt mit Erdbeeren und Keksen ;14.00
das gleiche wie Dienstag (Reis, Spargel, Brokkoli etc) ;12:7
Dinkel Toast   Ei  Putensalami;11:20
Eierpfannkuchen, Tomatensalat, 2 Pizza Brötchen;13:30
ein kleines Baguette mit Schinken, Käse und Ei;19:15
ein Pfeffer, Steak ;17:00
ein Stück Erdbeerrolle und eine Kaffee mit Hafermilch;17.00
ein Stückkuchen;14:30
ein Stückkuchen ;15:00
ein Teller Hühnersuppe mit Reis;18:30
ein Teller Lauchsuppe 😋;14:20
ein weissesbrötchen mit käse;9.00
eine Banane und eine Scheibe Eiweiß Brot mit Homos;10:00
eine kleine Banane;09:00
eine kleine Pizza 🍕 ;17:30
eine Scheibe Dinkel Toast mit einer Scheibe Käse, Light und einer Scheibe Pute, Aufschnitt;19:00
eine Scheibe Dinkel Toast mit Honig und eine Banane;8:7
eine Scheibe Dinkel Toast mit Honig und zwei Becher Kaffee;7:25
eine Scheibe Dinkel Toast mit Putensalami;20:00
eine Scheibe Toast mit Käse;12:00
eine Scheibe Vollkorn Toast mit Krabben Salat und zwei kleine Frikadellen Rind;20:7
eine Tüte Linsenchips😊;21:00
eine Tüte Linsenchips😊;22:38
einen Aperol Spritz;18.00
Eiweiß Pudding;
Erdbeeren ;16:00
Essen;19:00
fertigpizza mit Spinat ;18.30
Fitness Salat mit Scampi und einem Stück Knoblauchbaguette;18.00
Flammkuchen;17:30
frisch gebackenes Brötchen, 1Ei und Frischkäse mit Marmelade;09:00
Fritz Limo Apfel Kirsch Holunder ;14:30
Fritz Limo Zitrone;16:27
Frosties 44g Milch 164g;8:46
Frühstück im Café mit Freudin! 1 Brötchen, 2 Scheiben Vollkornbrot, 2 Scheiben Gouda, 1/4 Camembert 15 Gramm Butter, 200 Gramm Weintrauben;10.30
Frühstück wie gestern ;9:00
geschnitzeltes mit Reis;14:00
geschnitzeltes und Nudeln;14:30
Gouda streifen;12.05
Haferflocken 50 g;08:00
halbe Tüte Linsenchips;21:51
Harbo Pommes sauer 10 x;19:00
jumbodöner mit süskatoffelpommes 0,4 cola;15:30
Kaffee ;07:45
Kaffee;17:00
"Kantine: Spinat Feta Quiche ca 300g; kleiner grüner Salat mit Essig Öl Dressing; Kartoffelsuppe 100ml, Quark mit Ananas ca 100g";12:00
Kartoffel Brot Käse Lieberwurscht ;9:30
Kartoffeln und Senfeier mit Fisch ;18.00
Kartoffelpüre mit Fischstäbchen (2 Stück);18:00
Kartoffelpüree selbstgemacht Gulasch und Steckrübe ;18.30
käsebrötchen 500ml energy;15:03
Käseplatte 8-10 Scheiben Käse verschiede Sorten;15
Kleine Portion Gemüselasagne, 4 Scheiben Toastbrot mit Fleischsalat, 6 Stück Schokolade, 3 Kekse Mittelgroß;13:00
Körner Müsli ohne Zucker, mit 2 kleinen Äpfel und Soja Joghurt ohne Zucker;9:26
Körner Müsli, wie Dienstag ;9:00
lacksei Brötchen ;15:03
Lauchsuppe  😊;14:30
Lindt Schokolade 40 Gramm;15:50
Macaroni&Cheese 375g , 825 kcal;12:54
mc crispy chicken Menu ;15.00
Mit frisckäse gefülte Paprika 150g;18:52
Mit Rinderhack gefüllte Zucchini, Reis,  Champion und Zwiebeln überbacken mit Käse ;18.00
Mittag: Auberginen und Tomaten Auflauf mit Schafskäse, dazu Reis ;14:00
Mittlere Portion Pommes mit Mayonaise;19:35
Müsli;
Nudeln 130 Gramm, Tomatensoße mit Tunfisch und Parmesankäse;13.00
Nudeln Hähnchenkeulenfleisch eingelegt, Tomatensalat;20:6
nudeln mit etwas Sherrytomaten und Krabben;15:00
nudeln mit Hähnchen und Pilzen;12:10
Nudeln mit Tomatensosse, 5 Stück Schockolade;18:00
Nüsse Handvoll, Schokolade 6-7 Stück, 3 Stück Äpfel;14-18
Nutella ;06:20
PeterPane HoldeMaid, Vegetarischer Burger groß, Süßkartoffelpomes kleine Portion, Mayodipp dazu, Cola;20
Porridge mit Banane;8:00
Proteinshake (30g vegan Protein Cookies n Cream von Proteinworks & Hafer dink ca 300ml);12:57
Quark Eiweiß Kiwi 🥝 ;12:00
Quark, Eiweißpulver, Blaubeeren;14:00
Ravioli mit Spinat, antipasti und Lasagne;13.30
reis Hähnchen ;17:45
Reis mit Fenchel,  paprika,  Karotten,  Zucchini und Lauchzwiebeln und 2 Hähnchenschenjek;18.00
romana Salat ca 100g, Gurke 100g, Dressing wie Montag, Ziegenweichkäse 30g, 2Eier;13:46
Sandwich ;10:00
Scampis in Olivenöl ca. 15 Stück, 1 Glas Weissweinschorle, 1 große Portion Teramisu;21:00
Schinken Käse Baguette ;20.00
Schokokuchen ;15:57
Schwarzbrot, Tomate Ei Käse Nutella ;06:15
Schwarzbrot, Tomate Spiegelei ;6:16
Schwarzbrot, Tomate, zwei Spiegeleier;06:10
Skyr Apfel Banane Müsli ;7:48
Spagetti mit Bolognese;12.30
Spagetti mit Bolognese ;19:6
Spargel Suppe ;14:00
Spargel Suppe, mit grünen Spargel (selber gemacht) und Basen Brot 60gramm -gestern noch gebacken;13:53
Speck ;12:34
sub 30cm mit stake und salatgedöns kocki 0,5l Mountain Dew;13:07
"Sushireis 75g; Brokkoli 100g;Grüner Spargel 150g; Erdnussmus 15g; 100gTofu; Sojasauce; Zitronensaft";13:15
Teller Kartoffelgratin;13:00
Test;04:30
Tofu Sushi ca 160g -  lt. nährwerttabelle 170kcal - 6g Eiweis;21:30
Tomate Käse Ei  Schwarzbrot;08:45
Tortellini 675 Kcal;19:29
Über den Tag verteilt acht Becher Kaffee;
Über den Tag verteilt so fünf Schokoladenostereier und ein etwas größeres bisschen Kekse;
und so zwischendurch ab und zu mal ein kleines Stück Schokolade;
veganz protein choc bar chocolate brownie style;13:45
Veganz Protein Choc Bar cookie dough style;9:18
Wasser 500 ml;15:13
wasser 500 ml;20:00
Wiener Würstchen 90 g  , 2 Kugeln Eis;22:1
Wonder chunks chicken style 185g, 1EL Öl, All Seasons Pfannengemüse asiatischer Art ca 250g;20:9
Wrap mit Feta ca 100g, Oliven und Majo ca 30g;17
yoghurt mit Blaubeeren und Himbeeren ;14.00
Zimtschnecken klein 3 Stück;13:00
zwei Becher Kaffee mit Milch;04:30
zwei Becher Kaffee mit Milch;16:45
Zwei Becher Kaffee und ein Stück Käsekuchen klein;16:44
Zwei Brötchen mit Wurst röstzwiebeln und Peperoni ;11:36
zwei Dinkel Pfannkuchen mit 30 g Proteinpulver;14:00
zwei halbe Brötchen;06:20
zwei Scheiben Dinkel Toast, eins mit Marmelade, eins mit;8:00
zwei Scheiben Dinkel Toast, eins mit Marmelade, eins mit Honig und dann zwei Becher Kaffee;10:6
zwei Scheiben, Dinkel Toast mit Krabben, Salat und zwei Eier gekocht und drei Becher Kaffee;09:45
zwei Scheiben, Eiweiß, Brot, Avocado und ein Ei und Kaffee;10:00